ID,date,title,abstract,fake_abstract,ppl_human,ppl_ai,len_human,len_ai,ttr_human,ttr_ai,sim_human_ai
NODE12747081,2026-.0,생성형 AI를 활용한 학습자 중심 토론수업 모형 설계,"본 연구의 목적은 생성형 인공지능(Generative AI)을 학습자 중심 토론 수업에 효과적으로 통합할 수 있는 수업 모형을 개발하고 그 교육적 타당성과 현장 적합성을 검증하는 것이다. 이를 위해 토론 수업과 생성형 AI 활용에 관한 국내외 선행연구를 분석하여 모형의 설계 원리를 도출하였으며, 이를 바탕으로 Human Zone과 AI Zone을 구분한 학습자 중심 토론 수업 모형을 설계하였다. 이후 컴퓨터교육 전공 교수와 초·중등 교사를 포함한 전문가 집단을대상으로 포커스 그룹 인터뷰(FGI)를 실시하여 모형의 단계 구성, 활동 흐름, AI 활용 방식 및 교사 역할의 적절성을 검토하고, 그 결과를 반영하여 모형을 수정·보완하였다. 연구 결과, 최종 모형은 흥미 유발 및 준비, 자료 조사 및 입장 설정, AI 모의토론, 본 토론, 성찰 및 확장의 5단계로 구성되며, 생성형 AI를 학습자의 사고를 보조하는 인지적 파트너로 활용하고 인간 중심의 비판적 사고와 협력적 상호작용을 강화하도록 설계되었다.;","이 연구에서는 생성형 인공지능(AI) 기반 학습자 중심의 교육환경 개발과 관련된 문제들을 탐구하고 이를 해결하기 위한 새로운 접근법을 제시한다. 현존하는 많은 수업 방식에서 교사 중심적이며, 학생들의 독창성이 부족하다는 점을 고려하여, 이 연구는 그 문제를 극복할 수 있는 효과적인 수업모델을 설계하였다. 본 연구는 우선적으로 현재의 교육 시스템에서 나타나는 문제점들(교사 중심적 학습 환경, 단순히 정보 제공 등)을 분석하였으며, 이러한 분석 과정에서 생성형 AI의 중요성을 발견하게 되었다. 다음으로, 우리는 생성형 AI를 활용하여 학습자의 이해도와 참여도를 높일 수 있는 디지털 토론 플랫폼을 설계하였다. 이 플랫폼은 학생들이 자유롭게 의견을 나누면서 동시에 서로 간의 상호작용을 촉진하도록 설계되었다. 또한, 생성형 AI는 각 학생의 질문이나 답변을 개인화시키며, 이를 통해 더욱 효과적인 학습을 도모하자는 목표를 달성하였다. 결과적으로, 우리의 연구는 일반적인 교육방식에서 벗어난 혁신적인 아이디어를 제시함으로써, 미래의 교육환경 변화에 대한 가능성을 열어주었다.",48.64847183227539,42.62620544433594,508,544,0.8429752066115702,0.8925619834710744,0.8278068
NODE12747086,2026-.0,An Analysis of Factors Affecting Student Satisfaction in Online Liberal Arts Software Courses,"산업 전반에서 디지털 전환이 확산됨에 따라 소프트웨어 교육의 중요성은 더욱 커짐에 따라 많은 대학에서 비전공자를 대상으로 한 소프트웨어 관련 교과목을 온라인 형태로 제공하고 있다. 그러나 비전공자들은 소프트웨어 학습이 자신의 전공이나 진로와의 관련성을 충분히 인식하지 못하는 경우가 많아 학습 참여에 저항을 보이기도 하며, 이는 강의만족도의 저하로 이어질 수 있다.<BR/>본 연구에서는 교양 소프트웨어 교과를 수강한 비전공자 대학생 111명을 대상으로, 소프트웨어에 대한 태도와 온라인 교수·학습 방식에 대한 인식이 강의만족도에 미치는 영향을 분석하였다. 연구 결과, 두 요인 모두 강의만족도에 통계적으로 유의한 영향을 미치는 것으로 나타났다. 이는 교양 소프트웨어 강좌에서 소프트웨어 학습 필요성을 명확히 안내하고 전공 연계 사례 및 과제를 제공하는 한편, LMS 기반 학습자 분석과 교수자–학습자 상호작용 강화의 필요성을 시사한다. 본 연구는 비전공자 대상 온라인 소프트웨어 교과의 만족도 제고를 위한 수업 설계 및 교육 정책 수립에 기초자료로 활용될 수 있을 것으로 기대된다.;","온라인 자유arte 소프트웨어 과정에서 학생 만족도에 영향을 미치는 요인 분석

이 연구에서는 대학원 수준의 온라인 자유arte 교육 환경에서 학생들의 만족도에 대한 이해를 증대시키기 위해 다양한 요인들을 고찰하였다. 최근 온라인 교육의 확산과 함께, 특히 자유arte 관련 과정에서도 이와 같은 요구사항들이 더욱 중요해지고 있다. 따라서 본 연구에서는 이러한 문제 해결책으로서, 학습 자료 접근성, 교수법 활용, 기술 지원 서비스 제공 등 여러 측면에서 학생 만족도에 어떻게 영향을 끼치는지 탐구하였다.",41.49384689331055,76.0144271850586,551,284,0.8359375,0.8636363636363636,0.73076916
NODE12747080,2026-.0,생성형 AI 기반 학생평가 플랫폼 연구,"본 연구는 생성형 AI의 광범위한 활용으로 학생 산출물의 외형적 완성도와 실제 이해 수준 간의 괴리가 확대되는 상황에서, 학습자의 실제 이해를 정확하게 평가하는 데서 발생하는 문제를 다룬다. 이러한 변화는 교사의 평가 부담을 증가시키지만, 학생이 무엇을 어느 정도 이해하고 있는지를 진단하는 일은 교육 평가의 본질적인 요소로서 여전히 중요하다. 이에 본 연구에서는 학습자의 이해 수준을 다각적으로 진단하고 교사의 전문적 판단을 보완할 수 있는 참고 자료를 제공함으로써 평가 부담을 경감하는 생성형 AI 기반 학생평가 플랫폼을 개발하였다. 플랫폼의 프로토타입은 국내외 선행연구 분석을 통해 도출한 여섯 가지 설계 원리를 기반으로 설계·구현되었다. 학습자의 이해는 맞춤형 이해 점검 문항 응답과 동료 채점 결과와 AI 채점 결과 간의 일치도 및 유사도 분석을 통해 평가된다. 또한 전문가를 대상으로 한 예비적 사용성 평가 결과, 플랫폼은 직관적인 구조, 교사의 평가 업무 경감, 수업 적용 가능성 측면에서 강점을 보였다. 반면, 플랫폼 내 튜토리얼의 부재, 중요 안전장치의 일부 비일관성, 이해 중심 피드백이 학습자의 행동 변화로 충분히 이어지지 못하는 한계는 개선 과제로 도출되었다. 이러한 결과는 차기 버전 플랫폼의 개선 방향 설정과 향후 후속 연구를 위한 시사점을 제공한다.","본 연구에서는 생성형 인공지능(Generative Artificial Intelligence) 기반 학생 평가 플랫폼이 교육 현장에서 효율적으로 적용될 수 있는 방안과 그 효과성을 탐구하였다. 최근 빅데이터와 머신러닝 등으로 대표되는 디지털 기술 발전에 따라, 학교에서도 이러한 혁신적 솔루션들을 활용하여 교육 과정과 성과 측정 시스템의 개선 및 강화 필요성이 부각되고 있다(학습배경). 본 연구에서는 특히 생성형 AI 모델을 통해 개인별 학습 경향을 파악하고 이를 바탕으로 적합한 학업 지도법을 제공할 수 있을 것이라는 가설 하에 진행되었다. 또한 이 플랫폼은 다양한 종류의 문제 유형을 자동으로 생성하며, 실시간 피드백을 제공함으로써 학생들의 이해도 상승과 학습 능력 향상을 도모한다(방법). 연구팀은 중학교 수준의 언어 학습 프로그램을 중심으로 실험을 수행하였으며, 참여한 학생들에게 일정 시간 동안 해당 플랫폼을 이용하도록 요청하였다. 이후에는 통계 분석을 통해 얻은 데이터를 바탕으로 플랫폼의 유효성과 효과성을 검증하였다. 결과적으로, 생성형 AI 기반 평가 플랫폼은 일반 학습자의 경우 학습 효과와 만족도 면에서 우수한 점수를 받았으며, 특히 낮게 평가받던 저변인 집단에서도 큰 폭의 개선 효과를 나타냈다.",56.43040466308594,38.62208557128906,658,625,0.8580246913580247,0.8732394366197183,0.8308032
NODE12747083,2026-.0,대학 스포츠경영학 교육과정에서 스포츠 블록체인 과목 개설의 교육적 필요성 탐색,"본 연구는 스포츠경영학 교육과정이 디지털 전환 환경, 특히 블록체인 기술의 확산에 어떻게 대응하고 있으며, 이에 따른 교육과정 재구성의 방향성과 과목 개설 조건이 무엇인지를 탐색하는 데 목적을 두었다. 이를 위해 학계, 산업, 기술, 정책 분야의 전문가 5인을 대상으로 포커스그룹인터뷰(FGI)를 실시하고, 질적 주제 분석을 통해 주요 교육적·제도적 시사점을 도출하였다. 분석 결과, 현행 교육과정은 디지털 기술 수용이 미흡하며, 블록체인 기술의 실천적 활용 가능성과 산업 수요에 기반한 교육 설계의 필요성이 강조되었다. 이에 따라 실습 중심 교수법, 다학제 간 협력 체계, 정책 연계 전략 등이 스포츠 블록체인 과목 개설의 핵심 조건으로 제시되었으며, 본 연구는 디지털 전환 시대의 교육과정 혁신과 고등교육 정책 수립에 실질적 기초 자료를 제공한다.;","스포츠 브릭체 기술이 최근 대중화됨에 따라 이와 관련된 경영지식 및 능력이 요구되는 분야 중 하나로서 스포츠 블록체인이라는 새로운 개념이 등장하고 있다. 본 연구에서는 이러한 추세 속에서 대학 스포츠경영학 교육과정에 스포츠 블록체인 과목을 신설했을 때 그 도입의 적절성을 검증하였다. 이를 위해, 먼저 국내외 스포츠 블록체인 시장을 분석하였으며, 그 결과 현재 시점에서 스포츠 산업과 블록체인 기술 간 상호작용이 활발하게 이루어지고 있음을 확인할 수 있었다.",62.21102523803711,56.426151275634766,421,256,0.8712871287128713,0.8870967741935484,0.7159767
NODE12747087,2026-.0,생성형 AI 기반 과학 수업에서 ChatGPT 의 스캐폴딩 가능성 탐색: 중학생의 문제 풀이 학 습을 중심으로,"최근 인공지능(Artificial Intelligence, AI)의 발전은 교육 현장에 새로운 교수‧학습 가능성을 제시하고 있으며, ChatGPT와 같은 생성형 AI는 학습자와 상호작용하며 학습 과정을 단계적으로 지원하는 스캐폴딩 도구로 활용될 수 있다. 과학 수업의 문제 풀이 활동은 개념 이해와 오개념 교정에 중요하지만, 실제 교실에서는 질문에 대한 부담감이나 오류 인식의 어려움으로 인해 학습자의 참여가 제한되는 경우가 많다. 이에 본 연구는 중학교 과학 수업의 문제 풀이 학습 맥락에서 ChatGPT 기반 프롬프트 스캐폴딩이 학습자의 개념 이해와 문제 해결에 미치는 영향을 탐색하고자 하였다. 중학교 과학 '여러 가지 힘' 단원을 중심으로 사람 스캐폴딩 집단과 ChatGPT 프롬프트 스캐폴딩 집단을 대상으로 형성평가 결과와 학습자 인식 조사를 분석한 결과, 두 집단 모두 사전 대비 사후 형성평가에서 정답률이 유의미하게 향상되었으며, 일부 문항에서는 집단 간 향상 정도의 차이가 통계적으로 유의하지 않은 것으로 나타났다. 이는 ChatGPT 기반 프롬프트 스캐폴딩이 중학교 과학 수업에서 인간 기반 스캐폴딩을 보완하는 학습 지원 도구로 활용될 수 있으며, 질문 중심의 대화형 상호작용을 통해 학습자의 개념 점검과 재구성을 지원하는 생성형 AI 스캐폴딩의 교육적 가능성을 실제 교실 수업 맥락에서 확인했다는 점에서 의의가 있다.;","ChatGPT와 같은 생성형 인공지능(AGI) 도구의 활용은 교육 분야에서도 중요한 연구 대상이며 특히 첨단 기술과 교육의 융합에 대한 관심이 높아짐에 따라 그 중요성이 부각되고 있다. 본 연구에서는 중학교 과학 수업에서 생성형 AGI인 ChatGTP의 스캐폴딩(scaffolding) 가능성을 탐색하고 이를 통해 학습자의 문제 해결 능력을 증대시키는 효과를 확인하려 한다. 이 연구는 중등교육의 중요 단계인 중학교 과학 수업에서 AGI 기반 스케폴딩 도구의 적용 가능성과 효과성을 평가하기 위해 설계되었다. 본 연구는 총 8주 동안 진행되었으며 참여한 학생들은 각 주별로 다양한 과학 문제를 해결하며 실험실 조사 및 실시간 피드백 시스템을 통한 개입이 이루어졌다. 이러한 프로그램에는 학생들이 스스로 문제를 해석하고 해결할 수 있도록 돕기 위한 AGI의 질문과 지시사항이 포함되어 있었다. 또한, 모든 활동은 원활한 데이터 수집을 위해 모니터링 센서와 비디오 카메라 등 장비를 이용하여 수행되었다. 연구결과, AGI-기반 스케폴딩 도구가 참가 학생들의 문제해결 능력 향상을 유도하는데 크게 영향을 미쳤다.",39.20261001586914,36.07950210571289,692,563,0.779874213836478,0.9153846153846154,0.8353768
NODE12747085,2026-.0,활동이론에 근거한 VR 기반 수업 운영에 대한 초등 교사의 경험 탐구,"본 연구의 목적은 초등학교에서 교통안전 교육에 대한 가상현실(Virtual Reality, VR) 기반 수업을 운영한 교사의 경험을 탐구하고 이를 토대로 VR 기반 수업의 현장 적용 방안을 모색하는 데에 있다. 구체적으로, 개인의 행동을 문화 역사 관점에서 해석하는 활동이론에 근거하여, 교사의 경험을 분석하는 질적연구를 하였다. 주요 분석 자료는 VR 기반 수업을 실행한 초등 교사 8명의 면담 결과이다. 면담 데이터는 Kvale와 Brinkmann(2009)이 제안한 의미 응축(meaning condensation) 방법을 이용하여 분석하였다. 그 결과, VR 기반 수업의 활동체제를 규명하고 수업 운영 과정에서 나타난 모순과 극복 방안을 파악하였다. VR 기반 수업의 현장 적용 방안으로, 충분한 수업 시간 확보, 교사 대상 워크숍과 컨설팅 실시, 선도교사제, 교사 공동체와 연구회 운영, VR 콘텐츠 다양화 및 장비 재활용 방안 등을 제안하였다.;","초등학교에서 활동이론을 활용하여 가상현실(VR) 기반 수업 환경을 도입하고 이를 통해 교사를 중심으로 한 학습 경험이 변화되는 과정을 탐구하였다. 이 연구에서는 8명의 초등학교 교사들이 VR 기반 수업 환경에서 직접 참여하며 얻게 되는 개인과 조직 간의 관계 변화와 관련된 경험들을 수집하였으며, 이러한 정보들은 사회학적 분석법(Sociocultural Analysis)을 통합적으로 적용하기 위해 고려되었다. 교사들의 경험은 그들 스스로의 역할 재조ositioning, 동료 교사들과 협력 및 상호작용 방식의 변경, 그리고 학생들에게 제공되는 새로운 유형의 지도방식 등 다양한 측면에서 나타났다. 특히, 교사는 비대칭적인 권위 개념에서 벗어나 서로 대등하게 소통하면서 공동 문제 해결 능력을 강화했다. 또한, VR 기반 수업 환경 속에서도 교육 목표 달성을 위한 효과적인 교수-학습 관계 조성 가능성이 발견되었으므로, 교사는 교재 개발부터 평가까지 모든 단계에서 적극적인 역할을 수행함으로써 학생들의 학습 성공률을 높일 수 있었다.",68.7759780883789,59.15855026245117,479,522,0.8148148148148148,0.9310344827586207,0.86847675
NODE12747084,2026-.0,특수학급 교사와 특수학교 교사의 AI·디지털 도구 활용 실태 및 인식 비교,"2022 개정 교육과정의 '디지털 소양' 강조와 '모두를 위한 인공지능' 교육 정책 추진으로 교사의 AI·디지털 도구 활용 역량이 중요해졌다. 본 연구는 서울 지역 특수교사를 대상으로 설문 조사와 개별 심층면담을 실시하여 근무기관 유형에 따른 디지털 도구 활용 실태와 인식을 비교하였다. 그 결과, 특수학교 교사는 특수학급 교사보다 교수학습 목적과 학교 업무 목적 모두에서 AI·디지털 도구 활용 수준이 유의하게 높았다. 디지털 도구 활용 과정에서의 어려움은 교수학습 목적에서만 집단 간 차이가 확인되었다. 이는 근무기관 유형의 차이를 고려한 AI·디지털 도구 활용 정책과 지원의 필요성을 시사한다.;","이 연구에서는 특수학급 교사와 일반 특수학교 교사를 대상으로 특정한 AI(인공지능) 및 디지털 도구의 활용 실태와 그 인식 차이를 탐색하였다. 최근 정보기술과 관련된 변화 속에서, 이러한 도구들은 특별Needs교육 환경에서도 중요한 역할을 수행하고 있다. 이 연구는 특히 기존의 접근 방식들이 어떻게 진화하며, 새로운 도전 과제가 어떤 것인지 이해하기 위한 첫걸음으로서 의미 있는 가치를 가질 것으로 예상된다. 방법적으로, 설문조사 연구 방법을 적용하였으며, 참가자들에게 각각의 AI/디지털 도구에 대한 경험, 지속 가능성 그리고 효과성에 대해 질문지를 통해 피드백 받았다. 수집된 데이터는 분석을 위해 비율, 빈도 수치 등을 통계적으로 처리하였다.",47.62118148803711,72.17475891113281,336,363,0.8354430379746836,0.9880952380952381,0.7833818
NODE12747088,2026-.0,디지털 리터러시 검사 수행형 문항에 대한 성별 차별기능문항 분석,"본 연구는 2023~2024년에 실시된 초·중학생 대상 국가수준 디지털 리터러시 검사 결과를 활용하여 성별에 따른 차별기능문항(DIF)을 분석하고, 평가 영역과 문항 유형·내용 측면에서 그 양상과 특성을 탐색하였다. 분석 결과, 전반적으로 수행 난이도가 높은 기능형 문항은 남학생에게 유리하게 작용한 반면, 복수 조건을 충족하거나 언어적 판단을 요구하는 선다형 및 저작형 문항은 여학생에게 유리하게 나타났다. 또한 사례 기반 윤리 문항이나 생성형 AI 활용과 같은 개념 이해 문항은 선다형임에도 남학생에게 유리하게 기능하였다. 이러한 결과는 DIF가 문항의 주제, 형식, 수행 조건의 상호작용 속에서 발생하며, 공정한 평가를 위해 문항 설계 전반에 대한 다각적 검토가 필요함을 시사한다.;","디지털 리터티리티 레벨 평가에 있어 성별 차별이 존재할 수 있음을 시사한 연구에서, 이 논문에서는 규칙 준수와 문제 해결 등 디지털 리터러시의 중심적인 구성요소를 측정하기 위한 수행형 문항들을 활용하여 이러한 현상을 탐구하였다. 본 연구에서는 특정 교과 과정 및 직무 능력에 대한 이해도를 측정하는데 사용되는 다양한 종류의 문항들 중에서도 특히 성별 간의 차별 가능성에 대해 주목하였으며, 이를 위해 대표적인 인공 지능 기반 검사를 적용하였다. 성별 차별기능문항(Discriminative Item Functioning)을 확인하기 위해서는 각 응답자가 문항에 대한 점수를 얻는데 필요한 난이도와, 실제로 문항을 통과하게 된 확률 등을 고려해야 한다.",72.04396057128906,96.10777282714844,385,364,0.9204545454545454,0.9523809523809523,0.80803883
NODE12747089,2026-.0,교사 디지털 수업몰입 잠재프로파일 분석: 기술 수용 모델(TAM)을 기반으로,"교사의 디지털 수업몰입은 디지털 기술을 수업 맥락에 효과적으로 통합해 수업의 질을 높이는 핵심 변인으로 고려된다. 그러나, 선행 연구는 주로 변수 중심 분석에 머물러교사의 다차원성과 교사 간 이질성을 충분히 반영하지 못하는 한계를 갖는다. 이에, 본 연구는 기술 수용 모델을 기반으로 956명의 초·중·고 교사를 대상으로 잠재프로파일 분석을 통해 디지털 수업 몰입의 잠재집단을 디지털 몰입 선도형, 디지털 동기 주도형, 디지털 저몰두형으로 도출하였다. 결과 변인의 차이를 분석한 결과 몰입 수준이 높은 집단일수록 디지털 수업 혁신행동이 유의미하게 높게 나타났으나, 디지털 수업 스트레스는 유의미한 차이를 보이지 않았다. 마지막으로 인지된 용이성 및 유용성의 예측력을 검증한 결과 모두 유의미한 영향을 미쳤으며, 특히 인지된 유용성은 디지털 수업몰입 유형을 예측하는 핵심 요인으로 확인되었다. 이러한 연구 결과는 효과적인 교사 디지털 수업 지원을 위하여 교사의 디지털 수업몰입 유형을 고려한 차별화된 연수 및 지원 전략 설계의 필요성을 제안한다.;","이 연구에서는 교사들이 디지털 수업몰입(디지털 캐시미어)에 대한 태도와 사용 의향을 평가하고 이해하기 위해 기술 수용 모델(The Technology Acceptance Model; TAM)을 바탕으로 한 잠재 프로파일분석(Latent Profile Analysis; LPA)을 수행하였다. 교사는 현대화된 교육 환경에서 필수적으로 요구되는 역할 중 하나로서 디지털 도구를 효과적으로 활용해야 한다. 그러나 현재 많은 교사들은 이러한 변화에 적응하는데 어려움을 겪고 있다. 이 연구에서는 교사들의 디지털 수업몰입에 대해 깊게 이해하고, 그 이유를 찾아내기 위해서 기존의 TAM과 LPA를 통합한 접근법을 시도하였다. 조사 대상은 특정 지역의 초등학교 및 고등학교 선생님들로, 전체 응답자는 780명이며, 이들에게 설문지를 통해 정보기술(IT) 관련 경험, IT 기준, 그리고 디지털 캐시미어에 관한 데이터들을 수집하였다. 이를 바탕으로 LPA를 실시하여 다양한 유형의 교사를 식별하였으며, 각 유형별 특징과 인사이트를 파악하려 노력하였다.",83.19608306884766,42.126163482666016,529,525,0.784,0.9357798165137615,0.82729375
NODE12747082,2026-.0,국제 협업 기반 SW·AI 프로젝트형 대회의 교육적 효과성 분석,"본 연구는 2025년 e-ICON 세계대회에 참여한 국내외 중고등학생을 대상으로, 국제 협업 기반 SW·AI 프로젝트 경험이 학습자에게 어떤 교육적 변화를 가져오는지 살펴보고자 하였다. 사전사후 설문을 통해 디지털 리터러시, 자기주도학습, 창의적 문제해결력, 국제적 가치, 팀 상호작용, 멘토링 만족도, 진로·직업 관련 인식의 변화를 분석하고, 면담을 통해 참여 경험을 심층적으로 확인하였다. 분석 결과, 국내외 학생 모두 멘토링 경험에 대한 만족이 두드러졌고, 국제 협업과 진로 탐색을 대회의 주요 참여 동기로 꼽았으며, 온라인 단계에서는 언어 장벽을 겪었지만 번역과 채팅 도구 등을 활용해 협업을 이어갔다고 보고했다. e-ICON은 국제협업 기반 프로젝트 학습에서 멘토링을 통한 학습지원과 디지털 역량 강화에 의미 있는 교육적 가치를 보여주었으며, 향후 초기 팀 빌딩 지원과 멘토의 협업 촉진 역할 강화, 충분한 사전 준비 기간 확보가 필요함을 시사한다;","본 연구에서는 국제 협업 기반 소프트웨어(SW)와 인공지능(AI) 관련 프로젝트형 대회를 통해 학생들이 얻는 다양한 교육적 효과성을 검증하고 분석하였다. 현대 사회에서 지속적으로 변화하며 복잡해지는 문제 해결 능력을 갖추기 위해서는 국제 협력과 창의적인 사고가 필수적이다. 이러한 필요성이 고려된 바람직한 교육 모델 중 하나가 바로 프로젝트 중심의 수업방법(PBL: Project-Based Learning)이며, 이를 적용하기 위해 본 연구는 실용적이며 효과적인 대안으로서 SW와 AI 분야의 프로젝트형 대회를 선택하였다고 할 수 있다. 연구 방법으로는 참여 학생들의 서면 자료 수집 및 면담 등의 질량 연구 방법이 활용되었다. 또한, 학생들은 특정 주제 아래에서 국제 협력팀을 구성하여 SW나 AI 관련 문제를 해결해야 하는 상황을 경험하게 되었다. 이 과정 동안 학습자가 직접 자신의 아이디어를 개발하고 실행하며, 동시에 다른 참가자의 의견도 받아들여 서로에게 도움을 받았다는 점에서 PBL의 장점을 입증할 수 있었다.",64.7635498046875,42.95369720458984,480,517,0.8928571428571429,0.923728813559322,0.83164483
